局,時,タイトル,1,2,3,4,5,6,7,8,9,10,11,平均,推移
CX,月21,監察医 朝顔,13.7,12.3,12.3,12.3,12.3,14.4,11.4,10.2,12.7,12.3,13.3,12.56%,3-4-3
CX,火21,TWO WEEKS,8.4,5.9,6.4,5.4,6.2,6.2,6.1,6.0,6.7,7.7,-,6.55%,4-4-1
TBS,火22,Heaven？,10.8,9.2,8.7,10.0,7.8,7.5,8.1,7.5,8.5,8.7,-,8.68%,4-5-0
NTV,水22,偽装不倫,10.1,11.2,9.0,9.8,9.4,9.3,11.3,10.9,9.7,12.4,-,10.31%,4-5-0
EX,木21,サイン,14.3,9.5,11.5,9.5,10.7,9.9,10.0,11.1,12.1,-,-,11.09%,5-3-0
CX,木22,ルパンの娘,8.4,7.4,8.2,5.8,6.0,5.4,6.7,5.7,6.9,8.3,9.8,7.17%,6-4-0
NTV,木23,わたし旦那をシェアしてた,3.1,3.1,4.0,3.7,2.8,2.5,2.3,4.4,4.1,2.8,-,3.28%,2-6-1
TBS,金22,凪のお暇,10.3,9.5,9.1,9.8,8.6,10.3,10.8,9.9,10.3,10.8,-,9.95%,5-4-0
EX,金23,セミオトコ,4.0,4.4,3.6,2.4,3.5,3.0,3.2,4.3,-,-,-,3.55%,4-3-0
NTV,土22,ボイス,12.6,8.4,10.7,9.3,11.9,11.1,10.9,11.2,10.4,12.9,-,10.94%,4-5-0
EX,土23,べしゃり暮らし,2.6,2.0,2.2,2.1,2.3,2.5,2.0,3.0,-,-,-,2.34%,4-3-0
TBS,日21,ノーサイド・ゲーム,13.5,11.8,10.9,10.6,11.4,13.0,9.7,11.3,12.2,13.8,-,11.96%,5-4-0
NTV,日22,あなたの番です,9.2,9.2,10.9,9.5,10.2,10.2,11.0,13.0,12.3,19.4,-,11.49%,5-2-2
