"","コード","企業名","業種","連.個","売上高.2007","営業利益.2007","経常利益.2007","純利益.2007","売上高.2008","営業利益.2008","経常利益.2008","純利益.2008","売上高.2009","営業利益.2009","経常利益.2009","純利益.2009","売上高.2010","営業利益.2010","経常利益.2010","純利益.2010","売上高.2011","営業利益.2011","経常利益.2011","純利益.2011","売上高.2012","営業利益.2012","経常利益.2012","純利益.2012"
"1605連結",1605,"国際石油開発帝石株式会社","鉱業","連結",1.202965e+12,7.14211e+11,6.85799e+11,1.73245e+11,1.076164e+12,6.63266e+11,6.16166e+11,1.45062e+11,8.40427e+11,4.61667e+11,4.42027e+11,1.0721e+11,9.4308e+11,5.29742e+11,5.08587e+11,1.28699e+11,1.186731e+12,7.09357e+11,7.67038e+11,1.94e+11,1.216533e+12,6.93447e+11,7.18146e+11,1.82961e+11
"2503連結",2503,"キリンホールディングス株式会社","食料品","連結",1.801164e+12,1.20608e+11,1.23389e+11,6.6713e+10,2.303569e+12,1.45977e+11,1.03065e+11,8.0182e+10,2.278473e+12,1.28435e+11,1.44614e+11,4.9172e+10,2.177802e+12,1.51612e+11,1.40969e+11,1.1394e+10,2.071774e+12,1.42864e+11,1.36818e+11,7.407e+09,2.186177e+12,1.53022e+11,1.38452e+11,5.6198e+10
"2914個別",2914,"日本たばこ産業株式会社","食料品","個別",2.302704e+12,1.88608e+11,1.77757e+11,1.31145e+11,2.173552e+12,1.67687e+11,1.602e+11,8.9637e+10,2.052654e+12,1.63847e+11,1.61606e+11,1.07361e+11,7.49252e+11,1.85423e+11,1.82819e+11,3.2216e+10,7.34902e+11,2.01045e+11,1.98071e+11,1.42726e+11,7.81067e+11,2.09157e+11,2.10568e+11,1.49773e+11
"3382連結",3382,"株式会社セブン＆アイ・ホールディングス","小売業","連結",5.752392e+12,2.81088e+11,2.78262e+11,1.30657e+11,5.649948e+12,2.81865e+11,2.79306e+11,9.2336e+10,5.111297e+12,2.26666e+11,2.2695e+11,4.4875e+10,5.119739e+12,2.43346e+11,2.42907e+11,1.11961e+11,4.786344e+12,2.9206e+11,2.93171e+11,1.29837e+11,4.991642e+12,2.95685e+11,2.95836e+11,1.38064e+11
"4063連結",4063,"信越化学工業株式会社","化学","連結",1.376364e+12,2.87145e+11,3.0004e+11,1.8358e+11,1.200813e+12,2.32927e+11,2.50533e+11,1.54731e+11,9.16837e+11,1.17215e+11,1.27019e+11,8.3852e+10,1.058257e+12,1.49221e+11,1.60338e+11,1.00119e+11,1.047731e+12,1.49632e+11,1.65237e+11,1.00643e+11,1.025409e+12,1.57043e+11,1.70207e+11,1.05714e+11
"4502個別",4502,"武田薬品工業株式会社","医薬品","個別",8.92546e+11,2.67935e+11,2.72627e+11,1.74586e+11,8.74079e+11,2.43727e+11,2.69653e+11,1.49513e+11,8.7172e+11,2.47391e+11,2.57183e+11,2.06362e+11,8.4203e+11,1.82448e+11,1.9392e+11,1.35836e+11,8.34708e+11,1.78813e+11,4.51685e+11,3.72523e+11,7.89856e+11,8.8084e+10,9.6264e+10,1.5528e+11
"4503連結",4503,"アステラス製薬株式会社","医薬品","連結",9.72586e+11,2.75904e+11,2.84193e+11,1.77437e+11,9.65698e+11,2.50394e+11,2.71451e+11,1.70986e+11,9.74877e+11,1.86407e+11,1.90986e+11,1.22257e+11,9.53947e+11,1.1918e+11,1.15058e+11,6.765e+10,9.69387e+11,1.31519e+11,1.35107e+11,7.823e+10,1.005611e+12,1.53867e+11,1.57156e+11,8.2851e+10
"4568連結",4568,"第一三共株式会社","医薬品","連結",8.8012e+11,1.56827e+11,1.69058e+11,9.766e+10,8.42147e+11,8.887e+10,5.5168e+10,-2.15301e+11,9.52105e+11,9.5509e+10,1.03114e+11,4.1852e+10,9.67365e+11,1.22143e+11,1.31762e+11,7.0121e+10,9.38677e+11,9.8202e+10,7.6217e+10,1.0383e+10,9.97852e+11,1.00516e+11,9.9147e+10,6.6621e+10
"4689連結",4689,"ヤフー株式会社","情報・通信","連結",2.62027e+11,1.24807e+11,1.21511e+11,6.2617e+10,2.65754e+11,1.34618e+11,1.32912e+11,7.4715e+10,2.79856e+11,1.43825e+11,1.4336e+11,8.3523e+10,2.92423e+11,1.59604e+11,1.60218e+11,9.2174e+10,3.02088e+11,1.65004e+11,1.673e+11,1.00559e+11,3.42989e+11,1.86351e+11,1.88645e+11,1.15035e+11
"5108連結",5108,"株式会社ブリヂストン","ゴム製品","連結",3.390218e+12,2.49961e+11,2.19016e+11,1.3163e+11,3.234405e+12,1.3155e+11,7.4488e+10,1.0412e+10,2.597002e+12,7.5711e+10,5.4457e+10,1.043e+09,2.861615e+12,1.6645e+11,1.47905e+11,9.8913e+10,3.024355e+12,1.91321e+11,1.79317e+11,1.0297e+11,3.039738e+12,2.85995e+11,2.85043e+11,1.71605e+11
