,,昼夜間人口比率（％）,年少人口割合［15歳未満人口］（％）,老年人口割合［65歳以上人口］（％）,人口増減率（％）,粗出生率（人口千人当たり）,粗死亡率（人口千人当たり）,婚姻率（人口千人当たり）,離婚率（人口千人当たり）,高等学校数（15〜17歳人口10万人当たり）（校）,高等学校数（可住地面積100k㎡当たり）（校）,高等学校卒業者の進学率（％）,労働力人口比率［男］（％）,労働力人口比率［女］（％）,完全失業率［男］（％）,完全失業率［女］（％）,交通事故発生件数（人口10万人当たり）（件）,刑法犯認知件数（人口千人当たり）（件）,食料費割合［二人以上の世帯］（％）,住居費割合［二人以上の世帯］（％）,教育費割合［二人以上の世帯］（％）,平均貯蓄率［勤労者世帯］（％）,趣味・娯楽の平均時間［有業者・男］（時間.分）,趣味・娯楽の平均時間［無業者・男］（時間.分）,趣味・娯楽の平均時間［有業者・女］（時間.分）,趣味・娯楽の平均時間［無業者・女］（時間.分）
地域名,地域コード,2010,2012,2012,2012,2012,2012,2012,2012,2012,2012,2011,2010,2010,2010,2010,2012,2011,2012,2012,2012,2012,2011,2011,2011,2011
北海道,01000,100.0,11.7,26.0,-0.47,7.09,10.63,4.86,2.12,192.6,1.34,40.2,67.9,45.2,8.0,5.9,274.2,8.98,22.5,5.9,3.6,19.4,0.47,1.32,0.34,0.46
青森県,02000,100.0,12.1,27.0,-0.95,6.79,12.81,4.33,1.78,194.3,2.63,41.2,70.8,48.3,10.6,7.0,386.7,6.12,24.6,5.4,3.5,16.2,0.34,1.14,0.23,0.41
岩手県,03000,99.7,12.4,27.9,-0.84,7.12,12.33,4.32,1.52,195.1,2.19,41.0,70.4,48.4,8.7,5.0,261.6,4.83,24.7,7.1,2.1,19.1,0.33,1.00,0.23,0.43
宮城県,04000,100.2,13.0,22.9,-0.09,8.05,9.51,5.30,1.70,146.3,3.18,46.3,68.5,46.0,9.0,6.1,447.7,8.85,23.7,5.0,4.8,9.5,0.40,1.05,0.28,0.45
秋田県,05000,99.9,11.1,30.7,-1.12,6.16,13.98,3.78,1.41,186.7,1.85,45.0,68.7,45.6,8.6,4.8,266.2,4.12,22.9,7.9,3.2,15.2,0.39,1.16,0.23,0.37
山形県,06000,99.8,12.6,28.3,-0.78,7.13,12.81,4.24,1.46,178.0,2.24,46.1,70.1,49.3,6.9,4.3,614.9,5.54,22.2,6.0,3.8,5.1,0.37,1.09,0.25,0.38
福島県,07000,99.6,12.9,26.1,-1.41,7.02,11.94,4.73,1.64,171.3,2.65,43.1,69.2,47.3,8.4,5.4,498.9,8.13,22.7,5.7,2.9,25.1,0.38,1.02,0.27,0.40
茨城県,08000,97.2,13.2,23.8,-0.51,7.78,10.20,4.92,1.79,138.3,3.09,50.7,71.7,47.6,7.7,5.1,500.6,13.00,21.9,6.8,4.4,20.0,0.41,1.24,0.31,0.44
栃木県,09000,99.1,13.2,23.2,-0.40,8.02,10.43,5.13,1.85,136.7,2.68,52.2,72.3,49.3,7.3,4.9,404.3,11.53,20.4,6.9,3.8,17.4,0.41,1.11,0.27,0.43
群馬県,10000,99.9,13.4,24.9,-0.45,7.49,10.63,4.64,1.77,135.4,3.56,52.6,71.4,48.9,7.4,4.9,925.2,10.49,23.9,4.4,3.3,1.6,0.43,1.16,0.30,0.37
埼玉県,11000,88.6,13.0,22.0,0.07,7.90,8.20,5.10,1.86,96.8,7.81,57.0,71.8,47.8,7.2,5.0,493.6,13.91,23.0,7.0,8.0,21.6,0.42,1.20,0.29,0.49
千葉県,12000,89.5,12.8,23.2,-0.31,7.89,8.59,5.19,1.86,110.4,5.24,54.4,69.8,46.4,7.0,4.9,370.2,13.36,26.2,5.2,4.1,8.9,0.47,1.17,0.29,0.41
東京都,13000,118.4,11.3,21.3,0.26,8.12,8.25,6.75,1.91,144.6,31.03,65.7,65.5,46.0,6.5,4.9,358.5,14.13,25.1,7.7,5.9,18.0,0.48,1.22,0.33,0.45
神奈川県,14000,91.2,13.0,21.5,0.10,8.32,7.94,5.68,1.85,98.4,16.09,60.6,67.7,45.0,6.4,4.8,408.6,9.46,24.5,7.4,4.6,15.9,0.47,1.30,0.38,0.43
新潟県,15000,100.0,12.5,27.2,-0.64,7.45,11.97,4.35,1.37,148.9,2.35,45.4,70.4,49.1,6.5,4.2,357.2,8.71,23.5,5.7,4.0,13.0,0.39,1.00,0.22,0.48
富山県,16000,99.8,12.7,27.6,-0.55,7.28,11.79,4.50,1.43,171.3,2.86,53.2,71.7,51.0,6.4,3.7,459.6,6.14,22.7,7.2,2.6,36.1,0.42,1.18,0.28,0.44
石川県,17000,100.2,13.4,25.0,-0.26,8.21,10.51,4.91,1.52,163.0,4.03,53.5,71.7,52.1,6.4,4.1,443.3,6.93,23.3,4.6,5.6,22.3,0.47,1.16,0.29,0.43
福井県,18000,100.1,13.7,26.0,-0.50,8.40,11.01,4.55,1.55,158.2,3.72,54.9,72.4,52.2,6.3,3.9,394.0,7.07,24.1,4.7,3.6,29.2,0.47,1.07,0.29,0.48
山梨県,19000,99.0,12.9,25.6,-0.58,7.44,11.21,4.60,1.87,158.1,4.62,56.7,70.8,48.8,7.4,4.6,706.0,8.61,25.1,5.7,3.4,16.7,0.50,1.06,0.29,0.48
長野県,20000,99.9,13.5,27.4,-0.47,7.81,11.48,4.67,1.66,159.3,3.14,49.6,74.0,51.6,6.5,4.0,487.9,8.27,21.4,8.2,3.4,16.0,0.43,1.14,0.27,0.42
岐阜県,21000,96.0,13.7,25.2,-0.48,8.00,10.45,4.62,1.60,127.8,3.68,54.2,72.5,50.0,6.7,4.1,502.3,12.18,24.0,5.1,4.3,25.5,0.38,1.09,0.31,0.43
静岡県,22000,99.9,13.4,24.9,-0.37,8.25,10.23,5.17,1.84,131.5,5.23,53.2,74.0,51.2,6.8,4.4,989.2,9.58,23.8,5.6,3.6,10.7,0.43,1.16,0.26,0.42
愛知県,23000,101.5,14.2,21.4,0.15,9.14,8.26,5.75,1.82,103.0,7.39,58.5,73.5,50.0,5.7,4.2,668.5,16.04,27.2,5.7,4.7,27.1,0.45,1.26,0.34,0.42
三重県,24000,98.1,13.5,25.3,-0.38,8.00,10.44,4.89,1.76,128.6,3.52,51.9,71.1,48.4,6.0,3.9,551.9,12.03,22.0,4.9,3.4,6.7,0.42,1.13,0.26,0.44
滋賀県,25000,96.6,14.8,21.6,0.07,9.35,8.64,5.22,1.66,134.8,4.47,57.3,71.9,48.3,5.8,4.1,570.4,9.73,25.8,4.6,3.3,18.7,0.42,1.21,0.32,0.52
京都府,26000,101.2,12.6,24.7,-0.27,7.66,9.68,5.02,1.77,145.4,8.83,66.4,69.2,47.1,7.2,4.9,471.3,14.37,26.9,6.7,3.3,18.8,0.41,1.29,0.31,0.44
大阪府,27000,104.7,13.0,23.7,-0.06,8.24,9.09,5.43,2.12,107.8,19.77,58.1,66.0,43.9,9.1,6.4,544.4,17.52,25.4,7.8,6.3,15.1,0.36,1.21,0.30,0.47
兵庫県,28000,95.7,13.5,24.3,-0.20,8.34,9.63,5.07,1.84,131.6,7.67,60.0,68.1,44.3,7.5,5.2,611.3,13.71,25.7,7.2,3.7,6.5,0.43,1.15,0.31,0.40
