date,temp,rain,solar,snow,wind,press,humid,cloud
2019/1/1,5.3,0,11.75,0,2.3,1019.6,54,0.5
2019/1/2,6.2,0,11.84,0,2.9,1017.7,47,0.3
2019/1/3,4.9,0,11.91,0,3.1,1020.2,49,0.0
2019/1/4,5.1,0,11.73,0,2.0,1023.0,59,1.5
2019/1/5,7.4,0,11.32,0,2.1,1010.6,52,0.5
2019/1/6,5.3,0,6.03,0,3.0,1015.2,44,6.3
2019/1/7,5.4,0,12.00,0,2.8,1016.4,42,1.5
2019/1/8,4.6,0,9.89,0,1.6,1012.3,59,4.3
2019/1/9,4.5,0,12.37,0,4.7,1016.6,46,0.8
2019/1/10,2.0,0,4.95,0,1.8,1014.8,48,3.8
2019/1/11,6.4,0,12.26,0,2.9,1014.6,47,0.8
2019/1/12,4.6,0.0,2.26,0,2.0,1016.7,67,10.0
2019/1/13,6.2,0.0,10.36,0,2.2,1016.1,62,5.3
2019/1/14,5.6,0,12.27,0,2.0,1020.0,59,0.8
2019/1/15,5.6,0.5,5.61,0,2.3,1016.3,76,6.0
2019/1/16,6.6,0,11.13,0,2.9,1009.1,50,7.5
2019/1/17,6.6,0,12.18,0,2.2,1007.5,51,3.0
2019/1/18,5.9,0,13.13,0,3.9,1013.6,35,0.0
2019/1/19,6.6,0,12.81,0,2.5,1017.0,40,1.3
2019/1/20,7.1,0,11.60,0,2.4,1004.8,51,0.8
2019/1/21,5.8,0,13.39,0,3.2,1006.7,39,0.3
2019/1/22,5.0,0,13.00,0,2.7,1009.0,48,0.8
2019/1/23,6.7,0,12.80,0,2.6,1009.0,53,3.0
2019/1/24,6.2,0,13.72,0,4.4,1010.0,36,0.0
2019/1/25,6.0,0,9.00,0,3.0,1011.7,41,5.8
2019/1/26,4.5,0,11.08,0,4.4,1003.9,50,4.5
2019/1/27,4.6,0,14.23,0,4.4,1014.0,43,0.0
2019/1/28,6.5,0,9.11,0,2.6,1009.6,49,5.0
2019/1/29,6.0,0,13.85,0,5.3,1014.5,39,0.3
2019/1/30,5.2,0,11.49,0,1.9,1020.1,58,2.0
2019/1/31,5.1,15.5,3.30,0,1.9,1005.6,72,10.0
2019/2/1,4.1,0,14.98,0,4.1,1008.0,45,0.5
2019/2/2,6.0,0,14.46,0,2.0,1014.9,54,0.8
2019/2/3,8.5,0,13.80,0,2.1,1014.7,58,3.0
2019/2/4,13.2,0.0,14.60,0,4.3,1006.1,54,2.3
2019/2/5,6.7,0.0,4.79,0,2.4,1020.2,55,9.0
2019/2/6,5.7,15.0,1.48,0,2.3,1012.9,89,7.5
2019/2/7,9.6,0,11.06,0,2.2,1006.6,79,7.8
2019/2/8,6.1,0,9.16,0,3.8,1011.9,39,7.3
2019/2/9,0.8,2.0,2.10,0,2.6,1014.6,83,10.0
2019/2/10,3.5,0.0,14.65,0,2.9,1020.3,56,7.8
2019/2/11,3.0,0.0,3.53,0,1.8,1021.3,70,10.0
2019/2/12,6.2,0,11.47,0,2.7,1020.2,47,4.0
2019/2/13,5.2,0.0,6.28,0,2.2,1019.7,55,9.3
2019/2/14,4.5,0,12.44,0,3.8,1022.3,40,7.5
2019/2/15,3.0,0.0,4.26,0,2.0,1020.1,64,9.5
2019/2/16,6.8,0,12.48,0,2.3,1007.0,50,6.8
2019/2/17,6.4,0,13.62,0,3.8,1012.6,36,4.3
2019/2/18,8.2,0,17.06,0,2.4,1020.6,49,0.8
2019/2/19,9.1,1.5,3.27,0,2.0,1018.3,74,10.0
2019/2/20,11.6,0.5,14.09,0,2.3,1007.9,81,6.8
2019/2/21,10.3,0.0,15.99,0,3.9,1014.4,46,3.3
2019/2/22,9.3,0,14.64,0,2.5,1015.3,62,7.8
2019/2/23,8.9,0.0,16.49,0,4.0,1011.4,44,6.5
2019/2/24,8.8,0,16.05,0,2.6,1019.4,52,6.3
2019/2/25,11.3,0.0,11.32,0,1.8,1012.2,62,7.8
2019/2/26,10.2,0.0,7.46,0,2.6,1014.8,59,8.3
2019/2/27,7.7,0.5,7.72,0,2.0,1021.1,54,10.0
2019/2/28,6.6,22.5,1.75,0,2.3,1011.6,92,10.0
2019/3/1,8.8,1.5,10.00,0,2.0,1011.9,78,8.8
2019/3/2,10.3,0,18.58,0,3.6,1015.5,39,5.3
2019/3/3,6.5,13.5,2.88,0,2.7,1013.3,82,10.0
2019/3/4,7.3,27.5,1.91,0,3.5,1002.7,99,10.0
2019/3/5,9.6,0.5,18.57,0,2.4,1015.2,73,6.0
2019/3/6,10.8,3.0,6.35,0,1.5,1013.8,82,10.0
2019/3/7,8.2,28.0,4.04,0,2.6,1001.4,97,9.3
2019/3/8,7.3,0,20.75,0,4.8,1016.2,47,0.0
2019/3/9,10.0,0,20.14,0,3.6,1021.1,52,2.0
2019/3/10,12.5,6.5,10.94,0,2.0,1014.2,67,9.8
2019/3/11,12.3,32.0,11.47,0,3.5,994.1,76,6.5
2019/3/12,12.4,0,18.01,0,3.0,1001.6,52,2.5
2019/3/13,11.7,0,17.40,0,3.6,1002.8,51,2.0
2019/3/14,8.4,0,19.43,0,2.4,1014.2,38,4.3
2019/3/15,9.7,0,20.39,0,3.2,1016.3,45,3.3
2019/3/16,8.9,0.0,10.94,0,2.4,1009.9,64,6.3
2019/3/17,9.1,0.0,18.88,0,2.7,1013.9,42,5.0
2019/3/18,9.7,0,22.28,0,3.2,1019.0,49,4.0
2019/3/19,13.2,0,18.64,0,2.2,1013.0,52,10.0
2019/3/20,15.0,0,21.67,0,2.7,1014.7,47,2.0
2019/3/21,17.7,0.0,14.46,0,5.9,1004.4,73,8.3
2019/3/22,16.2,0.0,16.13,0,3.7,1000.2,55,9.8
2019/3/23,7.1,0.0,3.46,0,3.2,1009.0,52,10.0
2019/3/24,8.2,0,22.20,0,2.5,1012.0,37,0.8
2019/3/25,9.9,0,18.70,0,2.4,1014.3,50,7.5
2019/3/26,11.9,0.0,10.32,0,2.1,1008.0,58,5.8
2019/3/27,14.2,0,21.33,0,4.3,1008.1,39,3.0
2019/3/28,13.6,0.0,9.50,0,3.4,1004.4,44,9.3
2019/3/29,7.7,0.0,4.54,0,2.6,1013.8,56,10.0
2019/3/30,8.7,3.5,6.18,0,2.2,1010.2,80,10.0
2019/3/31,10.5,1.5,11.79,0,2.2,1003.2,73,7.3
2019/4/1,8.8,5.5,16.50,0,3.1,1008.9,60,6.0
2019/4/2,7.2,0.0,17.86,0,3.1,1011.5,55,3.8
2019/4/3,8.1,0,24.93,0,3.8,1014.3,39,0.3
2019/4/4,10.6,0,24.61,0,2.8,1010.8,45,1.5
2019/4/5,15.4,0,22.41,0,4.0,1001.4,45,3.5
2019/4/6,15.9,0,22.78,0,2.8,1004.1,42,2.8
2019/4/7,15.5,0,20.27,0,2.2,1003.8,55,3.5
2019/4/8,9.3,11.0,7.68,0,3.1,1005.1,79,10.0
2019/4/9,10.3,0,25.93,0,3.8,1013.3,51,2.3
2019/4/10,5.7,29.5,2.17,0,2.8,1008.8,90,10.0
2019/4/11,10.4,1.5,24.05,0,4.8,1003.9,59,9.5
2019/4/12,9.6,0.0,11.54,0,2.3,1013.6,52,10.0
2019/4/13,12.1,0,26.43,0,3.2,1019.1,46,2.8
2019/4/14,14.7,0.0,13.40,0,3.6,1015.0,59,10.0
2019/4/15,16.0,5.0,22.96,0,4.0,1005.7,54,4.0
2019/4/16,15.3,0,27.01,0,4.2,1015.2,44,2.3
2019/4/17,15.5,0,12.42,0,2.6,1013.5,65,9.5
2019/4/18,17.5,0,24.13,0,3.0,1009.2,62,5.3
2019/4/19,18.3,0.0,22.49,0,2.9,1007.4,68,9.8
2019/4/20,14.2,0,25.84,0,3.7,1012.5,63,5.3
2019/4/21,17.5,0,20.86,0,2.3,1010.0,73,8.0
2019/4/22,19.2,0.0,20.92,0,2.6,1011.3,69,9.0
2019/4/23,18.7,0.0,21.50,0,3.3,1018.1,61,10.0
2019/4/24,19.1,3.0,4.76,0,4.5,1013.5,87,10.0
2019/4/25,20.3,4.0,11.80,0,2.8,1001.1,93,8.8
2019/4/26,11.6,4.5,3.44,0,3.3,1002.5,93,10.0
2019/4/27,10.2,6.5,7.79,0,3.3,1006.2,78,7.5
2019/4/28,12.6,0,25.15,0,3.9,1018.6,45,6.3
2019/4/29,14.8,0.0,14.62,0,3.1,1019.2,64,10.0
2019/4/30,14.8,20.0,6.48,0,3.1,1010.7,96,10.0
2019/5/1,17.4,26.0,13.97,0,2.3,998.4,92,10.0
2019/5/2,17.3,3.5,15.51,0,1.9,1003.0,71,6.0
2019/5/3,18.5,0,24.40,0,2.3,1011.2,51,9.0
2019/5/4,18.4,0.0,18.73,0,2.5,1015.3,68,7.8
2019/5/5,18.9,0,25.26,0,3.0,1017.2,65,5.3
2019/5/6,18.8,0.0,13.08,0,4.5,1010.3,70,8.3
2019/5/7,15.3,0.0,18.17,0,3.3,1007.7,53,7.5
2019/5/8,16.5,0,29.11,0,4.2,1009.6,42,2.5
2019/5/9,18.6,0,15.65,0,3.7,1005.8,51,8.3
2019/5/10,20.6,0,25.30,0,2.6,1008.9,46,6.8
2019/5/11,20.9,0,25.38,0,2.7,1010.2,62,5.5
2019/5/12,17.6,0,23.03,0,3.1,1013.7,71,8.3
2019/5/13,17.7,0.0,14.37,0,3.1,1016.2,68,9.8
2019/5/14,17.9,0.5,5.69,0,3.6,1015.1,81,9.8
2019/5/15,18.7,0.0,22.49,0,3.6,1014.1,72,9.5
2019/5/16,20.0,0.0,19.06,0,2.7,1013.4,66,6.8
2019/5/17,20.0,0,24.52,0,3.0,1017.2,68,2.8
2019/5/18,20.3,0.0,21.98,0,3.5,1020.3,66,8.8
2019/5/19,20.5,0.0,22.37,0,3.9,1019.6,65,8.5
2019/5/20,20.5,0.0,19.65,0,4.3,1013.3,73,9.3
2019/5/21,19.4,82.0,2.77,0,4.6,1000.1,99,10.0
2019/5/22,19.4,0,27.97,0,2.6,1003.2,62,8.0
2019/5/23,21.3,0,28.46,0,3.0,1006.3,51,4.0
2019/5/24,23.1,0,28.92,0,2.7,1007.9,49,0.3
2019/5/25,24.4,0,28.83,0,2.7,1013.0,52,0.0
2019/5/26,25.2,0,27.81,0,2.3,1013.9,58,5.3
2019/5/27,26.1,0,27.66,0,3.0,1010.3,60,5.0
