局,時,タイトル,1,2,3,4,5,6,7,8,9,10,平均,推移
CX,月21,絶対零度,10.6,9.6,10.8,11.7,10.4,10.6,10.3,10.0,11.3,10.8,10.59%,4-5-0
CX,火21,健康で文化的な最低限度の生活,7.6,5.5,5.8,5.5,4.8,4.9,5.3,5.6,6.5,5.8,5.80%,5-4-0
TBS,火22,義母と娘のブルース,11.5,11.3,12.4,12.2,13.1,13.9,15.1,15.5,17.3,19.2,14.15%,7-2-0
NTV,水22,高嶺の花,11.1,9.6,8.2,9.2,8.2,7.8,9.9,9.3,9.9,11.4,9.49%,4-5-0
EX,木21,ハゲタカ,11.9,11.3,10.4,9.6,9.9,9.5,8.8,11.1,-,-,10.41%,2-5-0
CX,木22,グッド・ドクター,11.5,10.6,11.6,10.6,12.2,10.8,13.0,9.4,10.2,12.4,11.24%,5-4-0
NTV,木23,探偵が早すぎる,3.9,4.2,2.9,3.3,3.1,2.9,2.3,3.0,2.9,3.1,3.16%,4-5-0
TBS,金22,チア☆ダン,8.5,8.6,6.6,7.3,5.5,6.1,7.1,6.6,6.8,7.9,7.14%,6-3-0
EX,金23,dele,5.5,3.7,4.2,3.8,4.6,5.0,5.0,4.3,-,-,4.51%,3-3-1
NTV,土22,サバイバル・ウェディング,10.4,10.8,7.6,7.8,9.1,9.1,9.7,7.4,8.0,8.4,8.87%,6-2-1
EX,土23,ヒモメン,4.6,4.9,3.1,3.7,4.0,3.3,3.8,-,-,-,3.91%,4-2-0
TBS,日21,この世界の片隅に,10.9,10.5,9.0,9.2,8.9,8.5,9.8,10.9,10.0,-,9.77%,3-5-0
NTV,日22,ゼロ,7.1,6.7,6.3,6.1,7.9,5.8,8.3,5.3,5.6,6.8,6.62%,4-5-0
