局,時,タイトル,1,2,3,4,5,6,7,8,9,10,11,平均,推移
CX,月21,ラジエーションハウス,12.7,12.3,11.5,9.1,10.8,13.2,11.4,13.3,11.5,13.3,13.8,12.15%,5-5-0
CX,火21,パーフェクトワールド,6.9,5.8,6.0,6.5,6.1,6.3,6.1,6.1,6.6,7.1,-,6.37%,5-3-1
TBS,火22,わたし、定時で帰ります。,9.5,10.4,6.5,8.4,9.8,10.3,10.3,9.1,10.2,12.5,-,9.72%,6-2-1
NTV,水22,白衣の戦士！,10.3,9.3,9.3,8.4,8.3,7.2,7.7,8.4,8.6,9.6,-,8.71%,4-4-1
EX,木21,緊急取調室,15.2,13.4,12.3,12.6,13.7,12.3,12.9,12.8,12.9,13.6,-,13.23%,5-4-0
CX,木22,ストロベリーナイト・サーガ,7.8,6.4,6.6,6.7,6.7,6.8,6.2,5.2,6.2,6.2,7.9,6.71%,5-3-2
NTV,木23,向かいのバズる家族,2.7,2.7,1.9,2.4,2.0,1.5,2.8,2.7,2.3,2.1,-,2.31%,2-6-1
TBS,金22,インハンド,11.3,9.5,9.1,7.7,9.0,9.8,9.0,7.6,8.5,8.5,10.8,9.22%,4-5-1
EX,金23,家政夫のミタゾノ,8.2,6.5,7.5,7.4,5.9,5.6,5.7,6.4,-,-,-,6.65%,3-4-0
NTV,土22,俺のスカート、どこ行った？,10.9,9.7,7.9,8.6,8.5,7.3,8.5,7.9,8.9,8.7,-,8.69%,3-6-0
EX,土23,東京独身男子,5.7,3.2,4.0,3.1,3.1,4.8,4.1,3.5,-,-,-,3.94%,2-4-1
TBS,日21,集団左遷!!,13.8,8.9,10.1,9.2,9.0,7.8,9.4,11.9,10.1,13.1,-,10.48%,4-5-0
NTV,日22,あなたの番です,8.3,6.5,6.4,7.1,6.5,6.3,6.4,6.7,8.0,7.9,-,7.01%,4-5-0
