"","ume","shake","kobu","katsuo","mentai","tarako","tuna","etc"
"hokkaido",13.86,27.94,5.58,5.26,9.26,15.06,11.61,11.39
"aomori",14.93,30.79,7.01,2.43,10.36,11.58,11.58,11.28
"iwate",17.91,23.13,5.22,3.35,17.91,10.07,10.44,11.94
"miyagi",15.16,29.5,10,1.66,14.83,8.83,12.83,7.16
"akita",10.63,31.38,5.31,3.19,14.89,13.29,10.63,10.63
"yamagata",16.58,20.27,8.29,1.38,18.89,10.13,12.9,11.52
"fukushima",12.37,21.99,8.93,3.43,16.49,9.62,19.24,7.9
"ibaraki",15.42,26.49,7.98,2.54,18.33,11.79,11.79,5.62
"tochigi",16.61,27.04,10.7,1.97,16.9,9.29,12.67,4.78
"gunma",14.24,22.53,6.21,1.81,20.2,15.28,13.73,5.95
"saitama",13.91,27.17,8.03,3.57,19.36,10.17,13.58,4.18
"chiba",14.96,28.49,7.1,3.67,19.07,10.53,10.97,5.17
"tokyo",14.07,28.03,8.28,3.28,17.8,11.74,11.2,5.56
"kanagawa",15.05,28.06,9.61,3.47,16.1,10.67,11.49,5.51
"niigata",21.06,23.03,3.37,1.12,19.66,15.16,7.02,9.55
"toyama",19.41,21.84,14.56,4.85,13.59,7.76,11.16,6.79
"ishikawa",23.05,20,19.66,4.06,13.89,7.11,10.16,2.03
"fukui",20.58,20.58,18.62,4.9,15.68,6.86,9.8,2.94
"yamanashi",14.11,20.58,9.41,2.35,20.58,12.35,18.23,2.35
"nagano",18.64,21.3,9.68,2.66,20.33,13.8,10.16,3.38
"gifu",16.52,20.55,11.44,4.44,15.88,8.68,15.46,6.99
"shizuoka",15.96,27.71,11.86,4.98,14.3,9.2,10.75,5.21
"aichi",15.38,27.62,10.87,3.1,14.77,8.23,13.64,6.35
"mie",13.51,29.5,11.26,5.18,14.63,7.88,10.58,7.43
"shiga",14.96,23.12,12.92,6.12,18.7,7.14,12.24,4.76
"kyoto",18.99,26.62,12.66,5.68,15.09,8.44,8.92,3.57
"osaka",17.19,25.33,13.71,6.87,14.54,8.22,10.49,3.61
"hyogo",17.93,23.82,13.85,5.74,15.23,7.34,12.04,4.01
"nara",16.45,24.83,11.61,8.38,14.83,9.35,10.64,3.87
"wakayama",16.22,20.61,15.78,7.89,12.28,9.21,14.47,3.5
"tottori",18.64,16.1,10.16,2.54,22.03,11.86,13.55,5.08
"shimane",20.33,18.64,15.25,6.77,15.25,6.77,12.71,4.23
"okayama",17.3,18.2,12.8,4.49,18.2,9.43,14.38,5.16
"hiroshima",22.03,21.12,17.17,6.38,17.17,6.23,7.44,2.43
"yamaguchi",22.22,17.2,16.84,2.86,20.07,5.37,9.67,5.73
"tokushima",22.06,20.68,17.24,7.58,13.79,5.51,11.03,2.06
"kagawa",17.75,22.42,12.61,4.67,13.08,8.41,14.95,6.07
"ehime",21.72,25.29,11.6,5.95,15.17,5.95,12.5,1.78
"kochi",11.72,33.79,17.93,3.44,9.65,10.34,9.65,3.44
"fukuoka",15.62,22.59,11.73,4.94,22.77,5.11,11.65,5.56
"saga",17.98,19.42,5.75,3.59,12.94,9.35,23.74,7.19
"nagasaki",23.36,22.13,11.88,7.78,16.39,3.68,8.6,6.14
"kumamoto",21.57,14.72,13.69,7.19,19.52,4.79,12.67,5.82
"oita",14,27.53,11.11,4.83,20.77,3.38,9.66,8.69
"miyazaki",20.88,22.15,10.75,3.79,18.35,11.39,7.59,5.06
"kagoshima",17.59,24.53,9.25,4.16,19.44,6.01,14.81,4.16
"okinawa",19.59,22.85,7.34,2.04,15.1,4.48,11.42,17.14
