num,jp,en,area_jp,area_en
1,北海道,hokkaido,北海道,Hokkaido
2,青森県,aomori,東北,Tohoku
3,岩手県,iwate,東北,Tohoku
4,宮城県,miyagi,東北,Tohoku
5,秋田県,akita,東北,Tohoku
6,山形県,yamagata,東北,Tohoku
7,福島県,fukushima,東北,Tohoku
8,茨城県,ibaraki,関東,Kanto
9,栃木県,tochigi,関東,Kanto
10,群馬県,gunma,関東,Kanto
11,埼玉県,saitama,関東,Kanto
12,千葉県,chiba,関東,Kanto
13,東京都,tokyo,関東,Kanto
14,神奈川県,kanagawa,関東,Kanto
15,新潟県,niigata,中部,Chubu
16,富山県,toyama,中部,Chubu
17,石川県,ishikawa,中部,Chubu
18,福井県,fukui,中部,Chubu
19,山梨県,yamanashi,中部,Chubu
20,長野県,nagano,中部,Chubu
21,岐阜県,gifu,中部,Chubu
22,静岡県,shizuoka,中部,Chubu
23,愛知県,aichi,中部,Chubu
24,三重県,mie,関西,Kansai
25,滋賀県,shiga,関西,Kansai
26,京都府,kyoto,関西,Kansai
27,大阪府,osaka,関西,Kansai
28,兵庫県,hyogo,関西,Kansai
29,奈良県,nara,関西,Kansai
30,和歌山県,wakayama,関西,Kansai
31,鳥取県,tottori,中国,Chugoku
32,島根県,shimane,中国,Chugoku
33,岡山県,okayama,中国,Chugoku
34,広島県,hiroshima,中国,Chugoku
35,山口県,yamaguchi,中国,Chugoku
36,徳島県,tokushima,四国,Shikoku
37,香川県,kagawa,四国,Shikoku
38,愛媛県,ehime,四国,Shikoku
39,高知県,kochi,四国,Shikoku
40,福岡県,fukuoka,九州,Kyushu
41,佐賀県,saga,九州,Kyushu
42,長崎県,nagasaki,九州,Kyushu
43,熊本県,kumamoto,九州,Kyushu
44,大分県,oita,九州,Kyushu
45,宮崎県,miyazaki,九州,Kyushu
46,鹿児島県,kagoshima,九州,Kyushu
47,沖縄県,okinawa,九州,Kyushu
