year,month,day,day_of_week,temp,rain,solar,snow,wdir,wind,press,humid,cloud
2022,1,1,Sat,3.4,0,12.17,0,NW,4.1,1016.7,32,0.0
2022,1,2,Sun,3.5,0,10.14,0,NW,2.0,1017.4,52,2.5
2022,1,3,Mon,5.5,0,11.11,0,NW,2.2,1013.6,56,0.3
2022,1,4,Tue,5.2,0,11.76,0,NNW,2.5,1010.2,56,0.3
2022,1,5,Wed,4.1,0,12.13,0,NW,3.5,1019.0,37,2.5
2022,1,6,Thu,0.7,6.5,1.84,10,NW,2.0,1019.8,74,7.8
2022,1,7,Fri,2.6,0,12.18,0,NNW,2.6,1017.1,64,0.3
2022,1,8,Sat,4.5,0,11.84,0,NNW,1.9,1018.7,53,1.0
2022,1,9,Sun,6.3,0,11.36,0,NW,1.5,1013.9,53,5.0
2022,1,10,Mon,7.7,0.0,3.60,0,NNE,2.0,1015.8,60,9.8
2022,1,11,Tue,5.7,16.0,1.54,0,NW,1.9,1002.3,91,10.0
2022,1,12,Wed,5.0,0,12.63,0,NW,3.5,999.8,46,0.0
2022,1,13,Thu,5.7,0,11.93,0,NW,3.6,999.0,44,5.5
2022,1,14,Fri,4.4,0,12.80,0,NW,4.5,1005.8,38,0.0
2022,1,15,Sat,5.5,0,10.63,0,NW,3.0,1015.1,39,7.5
2022,1,16,Sun,5.4,0,12.27,0,N,1.6,1014.3,60,0.0
2022,1,17,Mon,6.0,0.0,9.48,0,NW,1.5,1008.6,58,7.3
2022,1,18,Tue,4.4,0,13.04,0,NW,3.8,1009.4,39,0.3
2022,1,19,Wed,3.7,0,9.66,0,NW,2.4,1013.9,44,2.3
2022,1,20,Thu,3.4,0,12.18,0,NW,3.4,1009.9,53,0.0
2022,1,21,Fri,3.0,0,13.36,0,NW,3.9,1017.5,43,1.0
2022,1,22,Sat,4.5,0,13.39,0,NW,2.4,1021.5,43,2.5
2022,1,23,Sun,5.1,0.0,6.82,0,NW,1.9,1017.7,54,9.5
2022,1,24,Mon,6.4,0.0,10.24,0,N,2.6,1011.3,53,7.0
2022,1,25,Tue,5.2,0.0,11.84,0,NE,1.9,1017.0,57,5.0
2022,1,26,Wed,5.5,0.0,6.77,0,NW,1.9,1013.1,83,5.8
2022,1,27,Thu,6.8,0,12.77,0,NW,3.1,1012.8,53,5.8
2022,1,28,Fri,6.6,0,9.78,0,NNW,2.5,1011.8,41,7.3
2022,1,29,Sat,5.9,0,10.75,0,N,2.2,1008.9,49,9.0
2022,1,30,Sun,5.2,0,7.83,0,NNW,2.6,1009.7,44,9.0
