"","コード","企業名","業種","連.個","売上高.2007","営業利益.2007","経常利益.2007","純利益.2007","売上高.2008","営業利益.2008","経常利益.2008","純利益.2008","売上高.2009","営業利益.2009","経常利益.2009","純利益.2009","売上高.2010","営業利益.2010","経常利益.2010","純利益.2010","売上高.2011","営業利益.2011","経常利益.2011","純利益.2011","売上高.2012","営業利益.2012","経常利益.2012","純利益.2012"
"1605連結",1605,"国際石油開発帝石株式会社","鉱業","連結",1.202965e+12,7.14211e+11,6.85799e+11,1.73245e+11,1.076164e+12,6.63266e+11,6.16166e+11,1.45062e+11,8.40427e+11,4.61667e+11,4.42027e+11,1.0721e+11,9.4308e+11,5.29742e+11,5.08587e+11,1.28699e+11,1.186731e+12,7.09357e+11,7.67038e+11,1.94e+11,1.216533e+12,6.93447e+11,7.18146e+11,1.82961e+11
"1878個別",1878,"大東建託株式会社","建設業","個別",5.11543e+11,5.0761e+10,5.4092e+10,3.0465e+10,5.14372e+11,6.2619e+10,6.6264e+10,3.6418e+10,4.84569e+11,6.5194e+10,7.8041e+10,4.8991e+10,4.6023e+11,6.1532e+10,6.6707e+10,3.7815e+10,4.91599e+11,5.8125e+10,6.1469e+10,3.4119e+10,5.08404e+11,5.2717e+10,5.7029e+10,3.4556e+10
"1925個別",1925,"大和ハウス工業株式会社","建設業","個別",1.15766e+12,6.3245e+10,4.9959e+10,7.446e+09,1.152431e+12,4.7503e+10,2.832e+10,5.578e+09,1.034834e+12,3.8782e+10,3.9045e+10,1.2969e+10,1.058103e+12,5.8458e+10,5.7817e+10,1.2713e+10,1.116665e+12,6.484e+10,6.5081e+10,1.8077e+10,1.238811e+12,8.0273e+10,1.02921e+11,4.8951e+10
"1963連結",1963,"日揮株式会社","建設業","連結",5.51062e+11,4.4896e+10,4.6837e+10,3.0019e+10,4.50911e+11,5.2003e+10,4.9388e+10,3.1543e+10,4.14257e+11,4.1919e+10,4.0829e+10,2.7112e+10,4.47222e+11,6.3559e+10,6.3395e+10,2.5477e+10,5.56966e+11,6.7053e+10,7.255e+10,3.9111e+10,6.24637e+11,6.4123e+10,7.2489e+10,4.6179e+10
"2267連結",2267,"株式会社ヤクルト本社","食料品","連結",3.17335e+11,2.2502e+10,3.1479e+10,1.6675e+10,2.9349e+11,1.6743e+10,2.5352e+10,1.1324e+10,2.90678e+11,1.899e+10,2.4724e+10,1.3248e+10,3.05944e+11,2.0401e+10,2.5788e+10,1.3168e+10,3.12552e+11,2.0817e+10,2.7984e+10,1.3291e+10,3.19193e+11,2.3068e+10,2.9424e+10,1.6379e+10
"2502個別",2502,"アサヒグループホールディングス株式会社","食料品","個別",1.030736e+12,7.9933e+10,7.7372e+10,4.0513e+10,1.019613e+12,9.105e+10,8.8562e+10,3.8994e+10,9.85468e+11,7.8513e+10,7.9303e+10,3.0036e+10,9.6327e+11,8.4741e+10,8.4707e+10,1.7661e+10,4.12665e+11,3.1474e+10,4.6562e+10,2.1841e+10,7.0169e+10,4.7521e+10,4.6917e+10,3.6208e+10
"2503個別",2503,"キリンホールディングス株式会社","食料品","個別",4.37172e+11,1.4081e+10,3.0875e+10,3.3476e+10,7.4536e+10,5.3495e+10,4.7074e+10,2.7684e+10,1.08093e+11,8.4191e+10,8.4529e+10,8.1972e+10,7.9968e+10,5.1608e+10,4.4881e+10,4.7099e+10,1.28102e+11,1.01352e+11,9.688e+10,4.0855e+10,9.5888e+10,7.0774e+10,6.4989e+10,6.5172e+10
"2651連結",2651,"株式会社ローソン","小売業","連結",3.01176e+11,4.661e+10,4.6244e+10,2.2119e+10,3.49476e+11,4.9186e+10,4.8787e+10,2.5306e+10,4.67192e+11,5.0275e+10,4.944e+10,1.2562e+10,4.41277e+11,5.554e+10,5.4594e+10,2.5386e+10,4.78957e+11,6.1769e+10,6.1728e+10,2.4885e+10,4.87445e+11,6.6246e+10,6.5926e+10,3.3182e+10
"2802連結",2802,"味の素株式会社","食料品","連結",1.216572e+12,6.0523e+10,5.5736e+10,2.8229e+10,1.190371e+12,4.0827e+10,2.5926e+10,-1.0173e+10,1.170876e+12,6.4034e+10,6.7621e+10,1.6646e+10,1.207695e+12,6.9374e+10,7.0499e+10,3.04e+10,1.197313e+12,7.2584e+10,7.5919e+10,4.1754e+10,1.172442e+12,7.1232e+10,7.7167e+10,4.8373e+10
"2897連結",2897,"日清食品ホールディングス株式会社","食料品","連結",3.85469e+11,2.7671e+10,3.2798e+10,1.3591e+10,3.62057e+11,2.3552e+10,2.8748e+10,1.589e+10,3.71178e+11,2.7341e+10,3.2794e+10,2.0496e+10,3.74932e+11,3.4537e+10,3.6418e+10,2.0756e+10,3.80674e+11,2.6211e+10,2.8099e+10,1.8538e+10,3.82793e+11,2.3954e+10,3.0964e+10,1.8855e+10
