都道府県名,地方区分,森林面積割合,農業算出額,人口割合,土地生産性,商品販売額
北海道,北海道,67.9,1150.6,4.23,96.8,283.3
青森県,東北,63.8,444.7,1.03,186,183
岩手県,東北,74.9,334.3,1.01,155.2,179.4
宮城県,東北,55.9,299.9,1.84,125.3,365.9
秋田県,東北,70.5,268.7,0.81,98.5,153.3
山形県,東北,68.7,396.3,0.88,174.1,157.5
福島県,東北,67.9,236.4,1.51,127.1,184.5
茨城県,関東,31,479,2.3,249.1,204.9
栃木県,関東,53.2,402.6,1.55,199.6,204.3
群馬県,関東,63.8,530.6,1.55,321.6,270
埼玉県,関東,31.9,324.7,5.72,247,244.7
千葉県,関東,30.4,565.5,4.9,326.1,219.7
東京都,関東,34.8,268.5,10.63,404.7,1062.6
神奈川県,関東,38.8,322.8,7.18,396.4,246.1
新潟県,中部,63.5,308.6,1.81,141.9,205.5
富山県,中部,56.6,276.1,0.84,98.5,192.4
石川県,中部,66,271.3,0.91,112,222.9
福井県,中部,73.9,216.1,0.62,98.5,167.3
山梨県,中部,77.8,287.4,0.66,325.3,156.2
長野県,中部,75.5,280,1.65,211.3,194.4
岐阜県,中部,79,283.7,1.6,192.1,167.9
静岡県,中部,63.1,375.8,2.91,314.5,211.4
愛知県,中部,42.2,472.3,5.89,388.9,446.9
三重県,関西,64.3,310.6,1.43,174.3,170.1
滋賀県,関西,50.5,222.8,1.11,104.9,170.7
京都府,関西,74.2,267.8,2.05,212.5,196.7
大阪府,関西,30.1,216.3,6.96,238.8,451.2
兵庫県,関西,66.7,261.2,4.35,197.7,212.5
奈良県,関西,76.8,207,1.07,182.7,147
和歌山県,関西,76.4,251.1,0.76,278.4,136.4
鳥取県,中国,73.3,249.9,0.45,187.6,162.2
島根県,中国,77.5,214.1,0.55,140.8,141.1
岡山県,中国,68,254.8,1.51,184.9,207.8
広島県,中国,71.8,286.2,2.24,192.2,304.6
山口県,中国,71.6,216.9,1.11,125.8,158.9
徳島県,四国,75.2,315.4,0.59,313.5,134.5
香川県,四国,46.4,249.5,0.77,242.9,232.9
愛媛県,四国,70.3,288.5,1.09,231.6,179.4
高知県,四国,83.3,354.2,0.57,339.9,137.9
福岡県,九州,44.5,381,4.01,255.6,295.7
佐賀県,九州,45.2,468.7,0.66,230.3,137.9
長崎県,九州,58.4,428.9,1.08,296,154
熊本県,九州,60.4,456.6,1.41,285.5,172.5
大分県,九州,70.7,360.1,0.92,222.8,148.3
宮崎県,九州,75.8,739.1,0.87,487.7,170.6
鹿児島県,九州,63.4,736.5,1.3,351.2,169.4
沖縄県,九州,46.1,452.4,1.13,232.8,145.4
